event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
1882,27.21962595,89.5187916,05/20/2010 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,Bhutan,2169,16.65656,89.99881744,275.8695984,15552000000
6567,32.5764,75.8466,08/27/2011 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,India,7601,9.76735,89.99740601,86.49646759,-2592000000
4423,20.855,77.7274,06/20/2012 05:45:00 PM,,,,,landslide,downpour,large,unknown,3,0,3,low,India,603837,8.98583,89.96817017,270,3888000000
2211,34.3061,77.3265,08-06-2010 00:30,,,,,landslide,downpour,large,unknown,0,0,0,none,India,37475,28.41985,89.9977951,297.8972778,-3888000000
4447,31.1066,77.209,07-05-2012 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,173503,4.04992,89.99950409,138.458725,-7776000000
7660,25.6237,94.1136,08-12-2015 00:00,,,,,mudslide,continuous_rain,medium,below_road,0,0,0,none,India,92113,5.65674,89.99918365,58.15094757,1296000000
1475,33.1595,75.8011,02-06-2010 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,20553,17.36463,89.99915314,300.8329468,7776000000
2168,34.11901266,73.87646407,07/29/2010 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,Pakistan,725000,26.80117,89.9991684,23.39447212,-18144000000
7037,26.8811,88.2779,07-01-2015 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,46427,0.17186,89.99863434,264.4724731,7776000000
7355,28.3037,83.8005,07/30/2015 12:15:00 AM,,,,,landslide,downpour,medium,unknown,27,18,45,high,Nepal,200000,16.98291,89.99971771,181.278717,89424003072
9685,27.30669194,86.77497513,07-03-2011 00:00,,,,,landslide,continuous_rain,medium,above_road,0,0,0,none,Nepal,3250,23.18065,89.99823761,68.05130005,-1296000000
102,15.8294,78.0501,06/25/2007 12:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,India,14060,10.53686,89.98883057,217.8749847,1296000000
6188,9.9431,76.3738,08-02-2014 09:00,,,,,landslide,continuous_rain,small,above_road,0,0,0,none,India,17944,8.84998,89.99045563,77.00538635,-5184000000
4957,28.2265,82.553,06/18/2013 12:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,5427,13.78928,89.99880219,208.7397919,-3888000000
1884,16.5121,80.6296,05/20/2010 11:00:00 PM,,,,,landslide,tropical_cyclone,medium,unknown,4,0,4,low,India,874587,0.80035,89.98874664,135,-6480000000
6515,28.3685,82.3731,12/15/2014 12:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,2,0,2,low,Nepal,5427,15.38991,89.99893188,209.1480713,7776000000
4556,27.1675,88.3651,09/16/2012 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,1147,0.52839,89.99866486,184.2141724,-5184000000
8744,32.99,75.1892,06/21/2016 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,India,80447,8.8353,89.99901581,128.1075745,-7776000000
4487,30.6179,78.3233,08/17/2012 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,17123,16.92829,89.99938202,182.2239685,-15552000000
6458,27.6363,86.2326,08-08-2014 23:00,,,,,landslide,continuous_rain,medium,unknown,4,9,13,high,Nepal,0,37.06227,89.99878693,300.9637451,-20736000000
2222,35.2227,72.4258,08-08-2010 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,Pakistan,29331,32.90326,89.9992218,4.559949875,-1296000000
4956,29.5388,80.9963,06/18/2013 12:00:00 AM,,,,,landslide,monsoon,medium,unknown,0,0,0,none,Nepal,23416,31.29134,89.9991684,165.5999756,5184000000
3251,33.3390327,75.1916877,03/19/2011 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,India,3278,5.78589,89.99909973,229.0041656,1296000000
697,31.13,77.09,08-08-2008 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,India,2467,4.18733,89.99899292,200.4495544,6480000000
6296,34.4989,73.0549,09/19/2014 12:00:00 AM,,,,,mudslide,mining,small,unknown,4,5,9,low,Pakistan,14047,16.56025,89.99471283,48.36645889,1296000000
7380,35.359,74.8686,10/26/2015 12:00:00 AM,,,,,landslide,earthquake,medium,above_road,0,0,0,none,Pakistan,0,1.94952,89.99906921,74.74488068,-11664000000
261,29.8496,80.5544,09-11-2007 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,18317,2.64868,89.99873352,215.2724152,11664000000
